model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
mobilenet_v2,500.0000,0.0000,dsl,10,2,__input__,1,153,28.5634,30.0161,1.0906,0.1673,0.0234,19.4021,0.9754,10.4466,0.2521,602112.0000,0.0000,27.7000,27.7000,27.7000
mobilenet_v2,500.0000,0.0000,pure_edge,10,2,,154,0,44.6805,24.2567,1.9083,24.2567,1.9083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7000,27.7000,27.7000
mobilenet_v2,500.0000,0.0000,pure_cloud,10,2,__input__,1,153,28.5634,29.7812,2.0669,0.2046,0.0589,18.3399,1.5373,11.2367,1.2615,602112.0000,0.0000,27.7000,27.7000,27.7000
mobilenet_v2,1000.0000,0.0000,dsl,10,2,__input__,1,153,23.7465,31.6407,6.1483,0.1738,0.0488,19.8887,4.6229,11.5783,1.6149,602112.0000,0.0000,27.7000,27.7000,27.7000
mobilenet_v2,1000.0000,0.0000,pure_edge,10,2,,154,0,44.6805,26.7151,2.3321,26.7151,2.3321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7000,27.7000,27.7000
mobilenet_v2,1000.0000,0.0000,pure_cloud,10,2,__input__,1,153,23.7465,29.9154,1.3863,0.1747,0.0292,18.5019,1.7290,11.2388,1.0977,602112.0000,0.0000,27.7000,27.7000,27.7000
mobilenet_v2,0.5000,30.0000,dsl,10,2,,154,0,29.9620,29.1420,4.3337,29.1420,4.3337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.7000,22.0000,79.8000
mobilenet_v2,0.5000,30.0000,pure_edge,10,2,,154,0,29.9620,28.9380,2.7523,28.9380,2.7523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.0167,22.0000,82.6000
mobilenet_v2,0.5000,30.0000,pure_cloud,10,2,__input__,1,153,9652.7216,9658.6119,5.1947,0.2340,0.0664,9645.1116,4.3346,13.2663,2.2733,602112.0000,0.0000,31.5721,12.8000,82.6000
mobilenet_v2,1.0000,30.0000,dsl,10,2,,154,0,29.9620,44.5329,8.7335,44.5329,8.7335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.7274,12.8000,82.6000
mobilenet_v2,1.0000,30.0000,pure_edge,10,2,,154,0,29.9620,31.1095,3.3474,31.1095,3.3474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.9199,12.8000,82.6000
mobilenet_v2,1.0000,30.0000,pure_cloud,10,2,__input__,1,153,4835.8256,4843.6628,10.3050,0.1983,0.0330,4829.7848,7.8829,13.6797,3.7066,602112.0000,0.0000,31.4385,10.4000,82.6000
