model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
resnet50,500.0000,0.0000,pure_edge,10,2,,19,0,58.4508,68.4804,4.6340,68.4804,4.6340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,500.0000,0.0000,pure_cloud,10,2,__input__,1,18,20.9961,30.3075,1.7565,0.0859,0.0112,20.2427,2.2048,9.9790,0.8315,602112.0000,0.0000,15.9000,15.9000,15.9000
resnet50,1000.0000,0.0000,dsl,10,2,__input__,1,18,16.1792,30.4102,5.6289,0.0926,0.0276,18.6425,3.3598,11.6751,3.5517,602112.0000,0.0000,15.9000,15.9000,15.9000
resnet50,1000.0000,0.0000,pure_edge,10,2,,19,0,58.4508,72.3389,7.4035,72.3389,7.4035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,1000.0000,0.0000,pure_cloud,10,2,__input__,1,18,16.1792,31.5313,5.4360,0.0986,0.0187,20.7741,5.2875,10.6586,1.7620,602112.0000,0.0000,15.9000,15.9000,15.9000
resnet50,0.5000,30.0000,dsl,10,2,,19,0,80.4740,83.5392,4.7911,83.5392,4.7911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.4143,29.8000,86.0000
resnet50,0.5000,30.0000,pure_edge,10,2,,19,0,80.4740,79.6127,4.8074,79.6127,4.8074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.8556,29.8000,86.0000
resnet50,0.5000,30.0000,pure_cloud,10,2,__input__,1,18,9645.1543,9654.4560,5.7521,0.0858,0.0214,9643.5763,4.1075,10.7939,2.0653,602112.0000,0.0000,31.3222,14.7000,97.1000
resnet50,1.0000,30.0000,dsl,10,2,,19,0,80.4740,53.5393,3.2065,53.5393,3.2065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.5255,14.7000,97.1000
resnet50,1.0000,30.0000,pure_edge,10,2,,19,0,80.4740,50.8747,3.2230,50.8747,3.2230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.7042,14.7000,97.1000
resnet50,1.0000,30.0000,pure_cloud,10,2,__input__,1,18,4828.2583,4840.1876,4.1869,0.0977,0.0525,4827.7156,4.1407,12.3742,1.3326,602112.0000,0.0000,31.2751,14.7000,97.1000
resnet50,5.0000,30.0000,dsl,10,2,,19,0,80.4740,57.7548,7.9129,57.7548,7.9129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.4023,14.7000,97.1000
resnet50,5.0000,30.0000,pure_edge,10,2,,19,0,80.4740,54.6667,2.4055,54.6667,2.4055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.5322,14.7000,97.1000
resnet50,5.0000,30.0000,pure_cloud,10,2,__input__,1,18,974.7415,985.9632,5.8483,0.1042,0.0459,973.3603,4.9718,12.4988,2.4386,602112.0000,0.0000,31.4690,14.6000,97.1000
resnet50,10.0000,30.0000,dsl,10,2,,19,0,80.4740,58.0121,5.2486,58.0121,5.2486,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.6418,14.6000,97.1000
resnet50,10.0000,30.0000,pure_edge,10,2,,19,0,80.4740,57.9742,6.6074,57.9742,6.6074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.7395,14.6000,97.1000
resnet50,10.0000,30.0000,pure_cloud,10,2,__input__,1,18,493.0519,502.4385,6.4302,0.0812,0.0114,491.5084,7.0495,10.8488,2.2705,602112.0000,0.0000,31.7072,14.6000,97.1000
